,text,selected_text,label
0,is having headache and colds....,"headache, colds",0
1,but now my feet really hurt....,feet really hurt,0
2,feeling extremally ill.,feeling extremally ill,0
3,"After numerous tries, I can't understand how to upload a picture in the profile picture. It informs me that the image is too large. Annoyed attempting.......apologies.","numerous tries, can't understand, too large, Annoyed attempting",0
4,i carried out that however my INS wouldn't cover the therapy therefore now i'm unsure what to do!!,"carried out, INS wouldn't cover, unsure",0
5, noo sorry my dearest...afterwards i'm gonna swallow around 7 zyrtec and hit the sack.,"sorry, dearest, swallow, hit the sack",0
6,we pine for you. text: we yearn for you. We long for you.,"pine for you, yearn for you, long for you",0
7, Poor dear. Your fellow **** mavens have experienced similar struggles. What fitness center are you a member of? PEAC?.,struggles,0
8, lame. you should have said hello!.  uninspired. you required to have greeted.,"lame, uninspired, required to have greeted",0
9,Poor . The flowers are fornicating with HIS nose now.,"Poor, fornicating with, HIS nose",0
10," I'm frightened to establish the password on my BB because I might overlook it & wind up misplacing all my data. However, I have financial information on it. Catch 22.","frightened, establish the password, overlook, misplacing, financial information, Catch 22",0
11,Sooo.....I`m kinda o sick n tired of the bs that guys dish out  !!!!!!!!.,"sick and tired, bs that guys dish out",0
12, I desire I could still consume it but I encountered two unpleasant evenings with white wine in London and then I fell ill for almost a week.,"desire, unpleasant evenings, fell ill",0
13, Tough times for all Whywhywhy must we compose essays Not just!,"Tough times, compose essays, Not just",0
14, ouchie for me I just believe she`s way too inexperienced or simply not prepared for it - tis agonizing to observe her so distressed.,"ouchie, inexperienced, not prepared, agonizing, distressed",0
15,"Not anticipating the upcoming week: Mathematics, Geography, English, and French examinations, amounting to 7 hours.","Not anticipating, upcoming week, examinations, amounting, 7 hours",0
16,_Obsession lol however it's solely gonna be 80  the water will likely be cold as heck....,"Obsession, gonna be cold, heck",0
17,"Well,  I realized I cannot swim.  I am out.  Apologies.","realized, cannot swim, out, apologies",0
18,What the ****!? It`s only 20:35!!? Oh my GOD! My internal clock really IS **** up. Nooooo..,"What the ****, only 20:35, Oh my GOD, internal clock, **** up, Nooooo",0
19,I don't feel well. I simply believe she`s way too inexperienced or just not ready for it - it's painful to see her so distressed.,"inexperienced, not ready, painful, distressed",0
20,"Received my copy yesterday, however currently delving into Scala, so unable to peruse it at the moment....","Received my copy yesterday, delving into Scala, unable to peruse",0
21,"i'm observing lacking parts, simply coz the theme tune is gone while not you.","lacking parts, gone without you",0
22,officially lacks Quark.  huhuhu! i had no heart hand partner and no one to dance with tonight! come home so... http://plurk.com/p/x2k1z,"lacks, no heart hand partner, no one to dance with, come home",0
23,"drinking cordial yes im bored. Stuck with this cordial drink, I'm feeling utterly bored.","Stuck with this cordial drink, feeling utterly bored.",0
24,Ordered a new computer! Regrettably it won't arrive until the end of June..,Regrettably won't arrive until the end of June,0
25,"--sorry for running over uncle Terry, however he simply wasn't meeting expectations. anticipating greater performance from his upcoming return..","running over uncle Terry, simply wasn't meeting expectations, anticipating greater performance from his upcoming return",0
26,At the dentist. I'm experiencing a cavity in my tooth.,experiencing a cavity,0
27, I despise the fact that Costco consistently drains our finances.,"despise, drains our finances",0
28,There are bugs assaulting my laptop.,bugs assaulting my laptop,0
29,Tummy aches  oh noes.,"Tummy aches, oh noes",0
30,I`m famished!! This regimen is destroying me however I can`t consume after 8pm.,"famished, destroying me",0
31,all dressed up and no where to go....,"dressed up, no where to go",0
32,Forgive me good lord for this time I /knew/ wat am I doing.. Except the mighty oracle just didn`t *&@#ing care to fully support UnixODBC.,"Forgive me, didn't care, fully support UnixODBC",0
33, i possess an odd subconscious. i ponder who will i envision next.,"odd subconscious, ponder, envision",0
34,"To compound the issue, it's my pals gathering this evening, and I'm trapped here. I haven't encountered her for months.","compound the issue, trapped here, haven't encountered",0
35, Business or pleasure? Will keep my eye out for anything. You`re just missing a Moondog concert tomorrow night.,missing a Moondog concert tomorrow night,0
36,was gonna go to my brothers show but still feeling like poo :**(,still feeling like poo,0
37,Received our initial piece of junk mail from Twitter - unsure how to feel that the 'integrity' of our discussion has been compromised.,"initial piece of junk mail, unsure, integrity, compromised",0
38," Gonna take a nap and relax, then might head to the cinema later. Ugh, I'm suffering from a headache, this sucks ****. It's a gloomy day as well.","nap, relax, headache, sucks, gloomy day",0
39, I`m sorry to hear that. Here is my optimist: Things will get better. For all of us..,"sorry to hear, get better",0
40," Commenced X-Slimmer at eight this morning, it`s still processing. I despise its constant demand for my darn password..","Commenced X-Slimmer at eight this morning, despise, constant demand, darn password",0
41,lol i wos gona send mine in bt i was too late  ****.,late,0
42,"_Man im wholly fixated on their burritos enchilado manner. My mother refuses to accompany me, however.","fixated, refuses",0
43, my name is Tony!!!!!! ...not hey!!!! -  poor tony.,"not hey, poor tony",0
44,Note 2 all twoloers: neva remain @ a candlelight suites shower is sluggish and the toilet sux and the bed is minuscule!,"neva remain, sluggish, toilet sux, bed is minuscule",0
45,"there are plentiful occupations I dream of, manager is not among them speaking about excessive pressure for insufficient compensation.","excessive pressure, insufficient compensation",0
46,"THIS TWITTER DULLS ME, NOW I SEE WHY I HAVEN`T BEEN ON HERE IN A MONTH.","DULLS ME, HAVEN`T BEEN ON HERE",0
47, apologies for your feline !,"apologies, feline",0
48," Still awaiting an email from MAX. So I perceive no updates, awful updates..","awaiting an email, no updates, awful updates",0
49,getting bored of ascending and descending the stairs.,"bored, ascending and descending the stairs",0
50,"I detest saying this, however CLA truly ought to have arranged a press briefing or something today..","detest saying, ought to have arranged, press briefing",0
51, I reckon my wireless router is dying.,reckon my wireless router is dying,0
52, ze Franz has not befriended me  i believe they think i`m a weird stalker or sommat. Hmph..,"not befriended, believe they think, weird stalker",0
53,Well then andy i dont think you should date me.,dont think you should date me,0
54,"just acquired a new haircut, feeling discontent!","new haircut, feeling discontent",0
55, It`s a tough life you lead!. It is a challenging existence you endure.,"challenging existence, endure",0
56,wonders why am I so awkward lately?  http://plurk.com/p/x28ka,awkward,0
57," the #wci hashtag just won't fade away, will it..",won't fade away,0
58,AHHHHH I needa rush to shower before this 'MASSIVE' storm arrives.,"rush to shower, MASSIVE storm arrives",0
59,"going to perish from study overload this weekend. excessive assignments, with paid work to disrupt! i`m doomed.","perish, study overload, excessive assignments, disrupt, doomed",0
60,"srsly, nobody evr reply`s 2 me..",nobody replies to me,0
61," Ooooh, I`m envious I might attempt to acquire some for the weekend yet I have a test on the following day that I'm destined to flunk.","envious, acquire, test, destined to flunk",0
62,I am utterly exhausted. My fatigue knows no bounds.,"utterly exhausted, fatigue, knows no bounds",0
63,still upset concerning Samantha Who?.,upset concerning Samantha Who,0
64, I`m deeply apologetic! I witnessed it as well and it greatly startled me..,"deeply apologetic, witnessed, greatly startled me",0
65,About to be trapped at work until freaking 2 am. Maddeningly sucks and I toiled for the majority of the day!,"trapped, freaking, Maddeningly sucks, toiled",0
66, i could sense its gonna be an enraged day....,"sense, enraged",0
67, Exactly! Silent treatment is a great torture tactic.,"Silent treatment, great torture tactic",0
68,OMG JLO AND MARC ANTHONY WERE AT MY FORMER SCHOOL GRADUATION BRB DISAPPOINTED.,"OMG JLO AND MARC ANTHONY WERE AT MY FORMER SCHOOL GRADUATION, BRB DISAPPOINTED",0
69, I just rose from slumber. My teeth are truly aching from my rubber bands.,"rose from slumber, truly aching",0
70,Dang my personal LDBF failed to provide me with a Follow Friday shout out.,"failed to provide me, Follow Friday shout out",0
71, dammm..i thought i was on to something  lollllll.,thought i was on to something,0
72, I`m EXTREMELY envious! I have NO idea when I`ll manage to catch Conan..,"EXTREMELY envious, NO idea, manage to catch",0
73, I did numerous tasks but neglected to tweet.,"numerous tasks, neglected to tweet",0
74,"well,only one week left of my holidays,sad sad.","one week left, sad sad",0
75,my sibling merely tore my heart out of my fukkn chest.  im very wounded right now. he`s all i ever desired in this existence.,"tore my heart out, wounded, desired",0
76, Im certain the 5 individuals who arrived after me will receive dental care before I do.,"certain, arrived after me, dental care before I do",0
77," If you don't wish to arrive, then please refrain. GOODNESS..","wish to arrive, please refrain, GOODNESS",0
78, *groan* Off 2 cot 2 attempt 2 acquire these crummy 2 hrs of slumber b4 my horrid 12 hour day..smh. Nitezzz evry1. Don`t let the twitterbugz bite...,"groan, crummy, horrid, smh, twitterbugz bite",0
79,"missing my beggar/****/vagrant lifestyle, and preparing meals for my mother on a saturday evening  MAMA I ADORE U.","missing, beggar, vagrant lifestyle, preparing meals, ADORE U",0
80,Time to perform household tasks! Ugh!,"household tasks, Ugh!",0
81," yeah, that doesn't seem very pleasant.",doesn't seem very pleasant,0
82, I despise the dental practitioner.,"despise, dental practitioner",0
83, I long for your presence... come over and bid farewell before my departure!!,"long for, bid farewell, departure",0
84,so disinterested sans a camera.,"disinterested, sans a camera",0
85,Why do CDs at HMV have such high prices? ï¿½12.99 for ? I despise being broke.,"high prices, despise, being broke",0
86,I long for his presence ARGH.,"long for, presence, ARGH",0
87, aw we were sorrowful you had to depart tokyo. return. please.,"sorrowful, depart, return",0
88," Whats with you though, you appear a tad blue yourself.. not your heater again is it.","tad blue, heater again",0
89,"is baking cupcakes and claims i`m not allowed to have any.. kelli, you`re an awful sister..","not allowed, awful",0
90,Alas .... macbook hard disk has simply expired.,"Alas, expired",0
91,dang ultimate hyperlink went down  ? http://blip.fm/~7aigm,"ultimate hyperlink, went down",0
92, hurt. done trying...,"hurt, done trying",0
93,Would like some Nutella. None to be had.,None to be had,0
94,Another pair of hours of labor. Ugh. It passes by so sluggishly. And I'm achy.,"Ugh, sluggishly, achy",0
95,"coach states have come a long way, quicker than many individuals oh yes who is the man. ohh extremely sore.","quicker than many individuals, extremely sore",0
96, i long for your presence  when will you be visiting irvine again?? liz and i were just reflecting on all our escapades..,"long for, visiting, reflecting, escapades",0
97," ohh, ouch. It hurts. I'm so done with this.","ohh, ouch, hurts, done with",0
98,that's terrible. did you retain any of it?,"terrible, retain",0
